mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_013
64296,Dayton silt loam,85,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_013
64296,Dayton silt loam,85,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_013
64296,Dayton silt loam,85,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_013
64296,Dayton silt loam,85,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_013
64296,Dayton silt loam,3,Concord,Poorly drained,0,51,3,6.1,22.5,24.8,52.7,20,0.2,WV_AG_013
64296,Dayton silt loam,3,Concord,Poorly drained,51,102,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_013
64296,Dayton silt loam,3,Concord,Poorly drained,102,183,0.25,6.7,25,24,51,20,0.2,WV_AG_013
64296,Dayton silt loam,2,Dayton,Poorly drained,0,18,2.5,5.6,17.5,,,15,0.22,WV_AG_013
64296,Dayton silt loam,2,Dayton,Poorly drained,18,41,0.75,5.6,22.5,,,15,0.2,WV_AG_013
64296,Dayton silt loam,2,Dayton,Poorly drained,41,114,0.75,5.8,45,,,32.5,0.04,WV_AG_013
64296,Dayton silt loam,2,Dayton,Poorly drained,114,152,0.25,6.7,50,,,35,0.08,WV_AG_013
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,0,18,4,6.1,22.5,24.8,52.7,22.5,0.2,WV_AG_013
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,18,68,2,6.1,27.5,19.9,52.6,22.5,0.19,WV_AG_013
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,68,119,0.75,6.7,45,26.1,28.9,32.5,0.04,WV_AG_013
64319,Holcomb silt loam,85,Holcomb,Somewhat poorly drained,119,152,0.25,6.7,32.5,19.7,47.8,25,0.1,WV_AG_013
64319,Holcomb silt loam,3,Concord,Poorly drained,0,51,3,6.1,22.5,24.8,52.7,20,0.2,WV_AG_013
